#This file is Chinese collocation file
#Lines start with # are comments and will be ignored
#This file is used to extract the check-point of S:Collocation in C2E task
#The format is: [Chiese word 1]~[Pos 1]:Relation:[Pos 2]~[Chinese word 2] [English parts]

哀愁~a:attr:n~阴影	sadness~of~shadow
有着~v:obj:n~盲信者	have~~fanatic
有着~v:obj:n~目标	share~v:obj:n~goal
有着~v:obj:n~纽带	strong~tsub~tie
有着~v:obj:n~偏爱	have~v:obj:n~preference
有着~v:obj:n~倾向	have~v:obj:n~orientation
有着~v:obj:n~神气	have~v:obj:n~look
有着~v:obj:n~土地	find~v:obj:n~soil
有着~v:obj:n~土壤	have~v:obj:n~soil
有着~v:obj:n~相貌	have~v:obj:n~look
有着~v:obj:n~销售	have~~dealer
有着~v:obj:n~兴奋	tang~of~excitement
有着~v:obj:n~眼睛	have~~eye
有着~v:obj:n~重要性	have~v:obj:n~importance
有着~v:obj:n~自己	have~~own
有着~v:obj:n~棕色	have~~tawny
黝黑~a:attr:n~脸	black~a:attr:n~face;dark~a:attr:n~face
黝黑~a:attr:n~身影	dark~a:attr:n~form
黝黑~a:attr:n~树丛	black~a:attr:n~copse
又~v:mods:d~安下心来	again~~settle
又~v:mods:d~抱	again~~hug
又~v:mods:d~爆发	again~~erupt
又~v:mods:d~闭上	again~~close
又~v:mods:d~变	again~time~grow
又~v:mods:d~变成	again~~become
又~v:mods:d~吵起来	again~time~row
又~v:mods:d~称赞起	again~time~admire
又~v:mods:d~成功	again~time~success
又~v:mods:d~成为	again~~become
又~v:mods:d~吃得下	again~~eat
又~v:mods:d~冲	again~time~pulse
又~v:mods:d~出现	again~time~appear;again~time~present
又~v:mods:d~处于	again~time~place
又~v:mods:d~吹	again~time~blow
又~v:mods:d~垂下眼来	again~~drop
又~v:mods:d~啐	again~time~spit
又~v:mods:d~带	again~v:mods:d~take
又~v:mods:d~到	again~~come
又~v:mods:d~低下	again~v:mods:d~lower
又~v:mods:d~点燃	again~v:mods:d~light
又~v:mods:d~读	again~~read
又~v:mods:d~发觉	again~~catch
又~v:mods:d~发现	again~time~find
又~v:mods:d~犯	again~time~blunder
又~v:mods:d~放下来	again~~put
又~v:mods:d~分散到	again~~disperse
又~v:mods:d~工作	again~time~work
又~v:mods:d~刮起来	again~time~come
又~v:mods:d~刮起脸来	again~time~scrape
又~v:mods:d~关上	again~~close
又~v:mods:d~哈哈大笑	again~time~laugh
又~v:mods:d~害怕起来	again~~afraid
又~v:mods:d~嚎叫	again~time~howl
又~v:mods:d~吼了起来	again~~roar
又~v:mods:d~呼喊起来	again~time~shout
又~v:mods:d~呼啸起来	again~time~wail
又~v:mods:d~化作	again~time~movement
又~v:mods:d~恢复	she~~again
又~v:mods:d~回到	again~~come;again~~reach
又~v:mods:d~活	again~~revive
又~v:mods:d~活跃起来	again~time~life
又~v:mods:d~检查	again~time~investigate
又~v:mods:d~见到	again~~see
又~v:mods:d~交给	again~~hand
又~v:mods:d~叫	again~~call
又~v:mods:d~叫起来	again~~up
又~v:mods:d~解除	again~~release
又~v:mods:d~进行	again~time~go
又~v:mods:d~鞠	again~time~bow
又~v:mods:d~聚集	again~~gather
又~v:mods:d~开始	again~time~begin;again~~start
又~v:mods:d~开心	again~time~happy
又~v:mods:d~看到	again~~come
又~v:mods:d~看见	again~~see
又~v:mods:d~看看	again~v:mods:d~look
又~v:mods:d~咳嗽	again~time~cough
又~v:mods:d~哭了起来	again~~cry
又~v:mods:d~哭起来	again~time~cry
又~v:mods:d~捆起来	again~time~bundle
又~v:mods:d~来	again~~come
又~v:mods:d~来到	again~~come
又~v:mods:d~溜出	again~~quit
又~v:mods:d~流动起来	again~time~flow
又~v:mods:d~满	again~time~fill
又~v:mods:d~明亮起来	again~time~brighten
又~v:mods:d~盘旋	again~time~circle
又~v:mods:d~切断	again~time~cut
又~v:mods:d~清醒过来	again~~come
又~v:mods:d~去	again~~take
又~v:mods:d~升起	again~~rise
又~v:mods:d~失踪	again~time~miss
又~v:mods:d~睡	again~time~sleep
又~v:mods:d~睡着	again~time~sleep
又~v:mods:d~死灰复燃起来	again~time~revive
又~v:mods:d~踢	again~time~play
又~v:mods:d~提出来	again~time~arise
又~v:mods:d~跳起来	again~v:mods:d~leap
又~v:mods:d~停了下来	again~~stop
又~v:mods:d~停下来	again~time~pause
又~v:mods:d~通行	again~time~go
又~v:mods:d~投入	again~~plunge
又~v:mods:d~推	again~time~thrust
又~v:mods:d~推开	again~v:mods:d~push
又~v:mods:d~吞噬	again~~engulf
又~v:mods:d~望望	again~~watch
又~v:mods:d~微笑	again~time~smile
又~v:mods:d~问	again~~ask
又~v:mods:d~洗濯	again~~rinse
又~v:mods:d~下了起来	again~time~fall
又~v:mods:d~下起	again~~begin
又~v:mods:d~下去	again~time~drop
又~v:mods:d~响	again~time~sound
又~v:mods:d~想	again~~want
又~v:mods:d~想起	again~time~think
又~v:mods:d~笑	again~time~grin;again~v:mods:d~laugh
又~v:mods:d~笑了笑	again~time~smile
又~v:mods:d~痒了起来	again~time~itch
又~v:mods:d~摇了摇头	again~~shake
又~v:mods:d~要	again~~want
又~v:mods:d~移动	again~time~move
又~v:mods:d~阴沉下来	again~~settle
又~v:mods:d~涌了出来	again~time~well
又~v:mods:d~有	again~~have
又~v:mods:d~遇到	again~~meet
又~v:mods:d~跃起	again~~jump
又~v:mods:d~站	again~~stand
又~v:mods:d~涨到	again~~rise
又~v:mods:d~找到	again~~find;again~~get
又~v:mods:d~召唤	again~time~beckon
又~v:mods:d~震动起来	again~~strike
又~v:mods:d~直了起来	again~~erect
又~v:mods:d~转	again~~change;again~~turn
又~v:mods:d~转过身去	again~~take
又~v:mods:d~走进	again~~go
又~v:mods:d~坐	again~time~sit
又~v:mods:d~坐下来	again~time~sit
右~a:attr:n~岸	right~a:attr:n~bank;the right bank
右~a:attr:n~半球	right~a:attr:n~hemisphere;the right hemisphere
右~a:attr:n~耳朵	right~a:attr:n~ear
右~a:attr:n~胳膊	right~a:attr:n~arm
右~a:attr:n~肩	right~a:attr:n~shoulder
右~a:attr:n~脚	right~a:attr:n~foot;the right foot
右~a:attr:n~脚踝	right~a:attr:n~ankle
右~a:attr:n~脚趾	right~~toe
右~a:attr:n~拳	right~a:attr:n~fist
右~a:attr:n~上臂	right~a:attr:n~arm
右~a:attr:n~腿	right~a:attr:n~leg;the right leg
右~a:attr:n~心房	right~a:attr:n~atrium;the right atrium
右~a:attr:n~心室	right~a:attr:n~ventricle;right~v:mods:d~ventricular;the right ventricle
右~a:attr:n~眼	right~a:attr:n~eye;the right eye
右边~v:mods:d~口袋	righthand~v:mods:d~pocket
右下~v:mods:d~肺	right~~lung
幼~a:attr:n~树	young~a:attr:n~tree
幼苗~v:mods:d~能力	seedling~~capacity
幼嫩~a:attr:n~胚乳	young~~endosperm
幼年~v:mods:d~语言	childhood~of~voice
幼小~a:attr:n~心灵	little~lops~soul;the juvenile spirit;the little soul
幼小~a:attr:n~子嗣	infant~a:attr:n~progeny
幼稚~a:attr:n~谋杀犯	naive~a:attr:n~murderer
幼稚无知~a:attr:n~姑娘	young~a:attr:n~woman
诱捕到~v:obj:n~有翅蚜	trap~~aphid
诱导~a:attr:n~办法	induce~~way
诱导~a:attr:n~改变	induce~tsub~alter
诱导~v:obj:n~产生	induce~v:obj:n~produce
诱导~v:obj:n~谈天	direct~v:obj:n~conversation
诱导~v:obj:n~头脑	teach~~head
诱导~v:obj:n~形成	induce~v:obj:n~formation
诱导~v:obj:n~终止	result~v:obj:n~cessation
诱发~v:obj:n~倒	induce~v:obj:n~inversion
诱发~v:obj:n~皮肤癌	induce~~skin
诱发~v:obj:n~原子核	induce~tind~nucleus
诱发出来~a:attr:n~变化	induce~a:attr:n~change
诱发出来~v:obj:n~变化	induce~v:obj:n~change
诱惑~v:obj:n~工人们	lure~v:obj:n~worker
诱惑~v:obj:n~心里	tempt~smods~heart
诱惑~v:obj:n~做坏	entice~v:obj:n~do
诱惑性~v:mods:d~建议	tempting~a:attr:n~suggestion
诱骗~a:attr:n~金钱	coax~~money
诱骗~v:obj:n~买	inveigle~into~buy
诱骗~v:obj:n~摘取	tempt~v:obj:n~pick
诱起~v:obj:n~愿望	tempt~v:obj:n~wish
迂腐~a:attr:n~家伙	pedant~~man
迂回~a:attr:n~路线	circuitous~a:attr:n~route
淤积~v:obj:n~泥	deposit~v:obj:n~mud
予以~v:obj:n~称赞	bestow~v:obj:n~approbation
予以~v:obj:n~概述	give~v:obj:n~outline
予以~v:obj:n~降职	may~~demote
予以~v:obj:n~注意	give~v:obj:n~attention
余留~a:attr:n~血	leave~~blood
余下~a:attr:n~时间	remainder~smods~update
余闲~v:mods:d~时间	spare~a:attr:n~time
鱼~v:mods:d~块	fish~of~piece
鱼~v:mods:d~食	fish~v:mods:d~food
鱼~v:mods:d~兄弟	fish~~brother
娱乐~v:mods:d~场所	entertainment~locnof~place
娱乐~v:mods:d~设施	recreation~for~facility
渔船~v:mods:d~船头	boat~of~prow
渔民~v:mods:d~毛衣	fisherman~possr~sweater
渔业~v:mods:d~城镇	fish~~town
愉快~a:attr:n~刺激	pleasurable~a:attr:n~excitement
愉快~a:attr:n~地带	delight~v:obj:n~take
愉快~a:attr:n~感觉	agreeable~a:attr:n~sensation
愉快~a:attr:n~集会	happy~a:attr:n~gathering
愉快~a:attr:n~记忆	happy~a:attr:n~memory
愉快~a:attr:n~竞赛	pleasant~a:attr:n~rivalry
愉快~a:attr:n~口吻	cheerful~a:attr:n~tone
愉快~a:attr:n~气氛	jovial~of~atmosphere
愉快~a:attr:n~渠道	happy~a:attr:n~channel
愉快~a:attr:n~散步	pleasant~a:attr:n~walk
愉快~a:attr:n~事	unpleasantness~appostn~thing
愉快~a:attr:n~事情	a/the happy thing;a/the pleasant thing;delight~~thing;unhappy~a:attr:n~event;unpleasant~a:attr:n~anything
愉快~a:attr:n~态度	pleasant~a:attr:n~manner
愉快~a:attr:n~下午	unpleasant~a:attr:n~afternoon
愉快~a:attr:n~笑声	happy~a:attr:n~laughter
愉快~a:attr:n~印象	unpleasant~a:attr:n~impression
愉快~a:attr:n~住所	pleasant~a:attr:n~place
愉快~a:attr:n~滋味	delight~v:obj:n~taste
愉快~v:mods:d~唱	merrily~v:mods:d~chorus
愉快~v:mods:d~过	agreeably~v:mods:d~pass
愉快~v:mods:d~激动	pleasurable~a:attr:n~excitement
愉快~v:mods:d~来到	pleasure~~go
愉快~v:mods:d~咧	cheerful~a:attr:n~grin
愉快~v:mods:d~倾听	pleasure~with~listen
愉快~v:mods:d~谈	light-hearted~~talk
愉快~v:mods:d~玩	happily~~play
愉快~v:mods:d~象	light-hearted~~like
愉快~v:mods:d~指出	pleasure~with~note
愉快~v:mods:d~走进	pleasure~~go
愚笨~a:attr:n~错误	stupid~a:attr:n~mistake
愚蠢~a:attr:n~聪明人	foolish~a:attr:n~wit
愚蠢~a:attr:n~供词	foolish~a:attr:n~confession
愚蠢~a:attr:n~官员	foolish~a:attr:n~officer
愚蠢~a:attr:n~谎言	clumsy~a:attr:n~fib
愚蠢~a:attr:n~计划	foolish~a:attr:n~plan
愚蠢~a:attr:n~家伙	foolish~a:attr:n~fellow
愚蠢~a:attr:n~举止	foolish~a:attr:n~behavior
愚蠢~a:attr:n~空想家	foolish~a:attr:n~dreamer
愚蠢~a:attr:n~冒险	foolish~a:attr:n~risk;foolish~a:attr:n~venture
愚蠢~a:attr:n~仆人	stupid~a:attr:n~servant
愚蠢~a:attr:n~人	foolish~a:attr:n~man
愚蠢~a:attr:n~世界	stupid~a:attr:n~world
愚蠢~a:attr:n~玩笑	silly~a:attr:n~joke
愚蠢~a:attr:n~王子	foolish~a:attr:n~prince
愚蠢~a:attr:n~问题	foolish~a:attr:n~question;silly~a:attr:n~question;stupid~a:attr:n~question
愚蠢~a:attr:n~想法	foolish~a:attr:n~idea
愚蠢~a:attr:n~行为	foolish~a:attr:n~behavior
愚蠢~a:attr:n~要求	stupid~a:attr:n~demand
愚蠢~a:attr:n~议论	foolish~a:attr:n~argument
愚蠢~a:attr:n~战争	stupid~a:attr:n~war
愚昧~a:attr:n~错误	foolish~a:attr:n~mistake
愚昧~a:attr:n~人	foolish~a:attr:n~people
愚昧~a:attr:n~人们	foolish~a:attr:n~people
愚昧无知~a:attr:n~女人	fool~~woman
愚弄~v:obj:n~盲人	mock~~blind
榆树~v:mods:d~开始	elm~~begin
与~a:attr:n~形式	grant~~form
与~v:mods:d~成果	structure~of~study
与会者~v:mods:d~情绪	meeting~v:obj:n~feeling
与众不同~a:attr:n~人	distinct~a:attr:n~personality
宇宙~v:mods:d~法则	cosmos~of~law
宇宙~v:mods:d~辐射	cosmic~a:attr:n~radiation
宇宙~v:mods:d~结构	universe~of~structure
宇宙~v:mods:d~君王	universal~a:attr:n~monarch
宇宙~v:mods:d~历史	universe~of~history
宇宙~v:mods:d~模式	universe~of~model
宇宙~v:mods:d~起源	universe~of~origin
宇宙~v:mods:d~细节	universe~of~detail
宇宙~v:mods:d~现象	universal~a:attr:n~phenomenon
宇宙~v:mods:d~性质	universe~of~nature
宇宙~v:mods:d~悠久	universe~of~duration
宇宙~v:mods:d~语言	universal~a:attr:n~language
宇宙论~v:mods:d~模型	cosmological~a:attr:n~model
雨衣~v:mods:d~存货	raincoat~v:obj:n~stock
语法~v:mods:d~范畴	grammatical~a:attr:n~category
语法~v:mods:d~课	grammar~v:mods:d~lesson
语法~v:mods:d~书	grammar~v:mods:d~book
语法~v:mods:d~意义	grammatical~a:attr:n~meaning
语言~v:mods:d~差别	language~v:mods:d~difference
语言~v:mods:d~单位	linguistic~a:attr:n~unit
语言~v:mods:d~改革	language~v:mods:d~reform
语言~v:mods:d~记忆力	linguistic~a:attr:n~memory
语言~v:mods:d~教授	language~of~professorship
语言~v:mods:d~教学法	language~v:mods:d~teaching
语言~v:mods:d~老师	language~v:mods:d~teacher
语言~v:mods:d~能力	language~v:mods:d~ability
语言~v:mods:d~行为	speech~v:mods:d~behavior
语言~v:mods:d~研究所	linguistic~~study
语言~v:mods:d~意象	word~v:mods:d~image
语言学~v:mods:d~规则	linguistic~a:attr:n~rule
语音~v:mods:d~顾问	phonetic~a:attr:n~adviser
语音~v:mods:d~现象	linguistic~a:attr:n~phenomenon
玉米~v:mods:d~用户	corn~v:mods:d~user
吁请~v:obj:n~团结	appeal~props~close
育~v:obj:n~妇女	infertile~~woman
郁闷~a:attr:n~感情	dull~a:attr:n~feeling
浴室~v:mods:d~表面	bathroom~v:obj:n~face
预报~a:attr:n~结果	predict~~result
预报~a:attr:n~需要	forecast~~need
预报~v:obj:n~结果	prediction~~glue
预报~v:obj:n~人	forecast~props~understaff
预报~v:obj:n~天气	forecast~~weather
预报~v:obj:n~小震	predict~~small
预报~v:obj:n~需要	forecast~~need
预备~a:attr:n~动作	preliminary~a:attr:n~movement
预备~a:attr:n~马	prepare~a:attr:n~horse
预备~v:obj:n~草案	prepare~~draft
预备~v:obj:n~礼物	have~v:obj:n~gift
预备~v:obj:n~战斗	ready~props~fight
预备性~a:attr:n~步骤	preliminary~a:attr:n~step
预测~a:attr:n~目的	forecast~of~objective
预测~a:attr:n~重要性	prediction~of~significance
预测~v:obj:n~变化	predict~v:obj:n~variation
预测~v:obj:n~结果	forecast~v:obj:n~result
预测~v:obj:n~联系	forecast~~tie
预测~v:obj:n~目的	forecast~~objective
预测~v:obj:n~日蚀	predict~v:obj:n~eclipse
预测~v:obj:n~事件	predict~v:obj:n~event
预测~v:obj:n~危机	forecast~v:obj:n~crisis
预测~v:obj:n~未来	forecast the future;foretell the future;predict~v:obj:n~future
预测~v:obj:n~液体	predict~~liquid
预测~v:obj:n~重要性	prediction~~significance
预订~v:obj:n~套间	engage~v:obj:n~suite
预定~a:attr:n~工作	set~~do
预定~a:attr:n~温度	predetermine~~temperature
预定~a:attr:n~状况	predict~~condition
预定~v:obj:n~动身	schedule~v:obj:n~leave
预定~v:obj:n~房间	reserve~v:obj:n~room
预定~v:obj:n~快车票	engage~~express
预定~v:obj:n~温度	predetermine~~temperature
预定~v:obj:n~用途	intended~~use
预定~v:obj:n~座位	reserve~v:obj:n~seat
预防~a:attr:n~原则	prevention~of~principle
预防~v:obj:n~风湿病	prevent~v:obj:n~rheumatism
预防~v:obj:n~疾病	prevention~v:mods:d~disease
预防~v:obj:n~今后	prevent~~future
预防型~a:attr:n~抗氧剂	preventive~a:attr:n~antioxidant
预防性~a:attr:n~控制	preventive~a:attr:n~control
预防性~a:attr:n~治疗	preventive~a:attr:n~treatment
预付~v:obj:n~订费	advance~v:obj:n~subscription
预付~v:obj:n~工资	advance~v:obj:n~wage
预付~v:obj:n~海运费	prepay~~ocean
预计~a:attr:n~方式	predictable~a:attr:n~manner
预计~a:attr:n~后果	unpredictable~a:attr:n~consequence
预计~a:attr:n~需求	forecast~~demand
预计~v:obj:n~方式	predictable~~manner
预计~v:obj:n~耗费	prediction~as~cost
预计~v:obj:n~后果	unpredictable~~consequence
预计~v:obj:n~类似	expect~~similar
预计~v:obj:n~完成	plan~v:obj:n~finish
预计~v:obj:n~需求	forecast~of~demand
预见~v:obj:n~变成	predict~v:obj:n~transformation
预见~v:obj:n~经济危机	forecast~~economic
预见~v:obj:n~未来	forcast the future;forsee the future;fortell the future;see~into~future
预见~v:obj:n~有	see~pcs~have
预见到~v:obj:n~公司	see~~company
预见到~v:obj:n~会	foresee~~will
预见到~v:obj:n~劳动	foresee~~labor
预料~a:attr:n~问题	unforeseen~a:attr:n~problem
预料~v:obj:n~感激	anticipate~~grateful
预料~v:obj:n~计划	anticipate~~plan
预料~v:obj:n~结果	expect~v:obj:n~result
预料~v:obj:n~来自	expect~v:obj:n~come
预料~v:obj:n~气温	expect~~temperature
预料~v:obj:n~问题	unforeseen~~problem
预料~v:obj:n~幸福	plan~v:obj:n~happiness
预料~v:obj:n~种	expect~v:obj:n~race
预料到~v:obj:n~分析	anticipate~v:obj:n~analysis
预料到~v:obj:n~结果	foresee~v:obj:n~result
预期~a:attr:n~价值	prospective~~value
预期~a:attr:n~影响	expectation~tsub~affect
预期~v:obj:n~影响	expectation~~affect
预热到~a:attr:n~铸模	preheat~a:attr:n~mould
预热到~v:obj:n~温度	preheat~to~temperature
预审~a:attr:n~决定	examine~of~determination
预审~v:obj:n~法官	examine~v:obj:n~justice
预示~a:attr:n~位置	predict~~position
预示~v:obj:n~暴风雨	foreshadow~v:obj:n~storm;hint~v:obj:n~storm
预示~v:obj:n~到来	announce~v:obj:n~coming
预示~v:obj:n~干什么	predict~~what
预示~v:obj:n~灭亡	foretaste~of~doom
预示~v:obj:n~严肃	indicate~~serious
预算~v:mods:d~表	budget~v:mods:d~figure
预算~v:mods:d~费用	budget~v:mods:d~cost
预先~v:mods:d~藏	precaution~~conceal
预先~v:mods:d~称	beforehand~time~weigh
预先~v:mods:d~吹吹牛	beforehand~a:attr:n~blow
预先~v:mods:d~存贮	beforehand~~register
预先~v:mods:d~感觉到	anticipation~in~feel
预先~v:mods:d~知道	beforehand~~know
预先~v:mods:d~着手	advance~~undertake
预想~v:obj:n~乐趣	anticipate~v:obj:n~enjoyment
预言~a:attr:n~根据	prophecy~of~basis
预言~a:attr:n~姐妹	predict~~sister
预言~a:attr:n~人	prophesy~~alarmist
预言~a:attr:n~食物	foresee~~food
预言~a:attr:n~事情	predict~~event
预言~v:obj:n~发生	prophesy~v:obj:n~happen
预言~v:obj:n~根据	prophecy~~basis
预言~v:obj:n~平衡	predict~v:obj:n~equilibrium
预言~v:obj:n~失败	foretell~v:obj:n~fail
预言~v:obj:n~死期	foretell~~death
预言~v:obj:n~相对	predict~~relative
预言~v:obj:n~形式	anticipate~v:obj:n~form
预言~v:obj:n~支配	predict~~dominant
预知~a:attr:n~行动	anticipate~~movement
预知~v:obj:n~敌军	anticipate~~enemy
预知~v:obj:n~麻烦	foresee~v:obj:n~trouble
预知~v:obj:n~下雨	foresee~~rain
预祝~v:obj:n~生日	anticipation~of~birthday
欲寻~v:mods:d~珍珠	search~~pearl
遇不到~v:obj:n~生灵	meet~v:obj:n~soul
遇到~a:attr:n~过程	encounter~a:attr:n~process
遇到~a:attr:n~计划	meet~~plan
遇到~a:attr:n~美男子	meet~~handsome
遇到~a:attr:n~情况	encounter~~situation
遇到~a:attr:n~人	meet~~people;meet~~person
遇到~a:attr:n~人们	meet~a:attr:n~people
遇到~a:attr:n~顽童	see~a:attr:n~urchin
遇到~a:attr:n~问题	confront~~problem;meet~~problem
遇到~a:attr:n~心头	meet~~heart
遇到~v:obj:n~第一类	encounter~~first
遇到~v:obj:n~电子	meet~v:obj:n~electron
遇到~v:obj:n~东西	get~about~anything
遇到~v:obj:n~反对	meet~v:obj:n~opposition
遇到~v:obj:n~反抗	meet~v:obj:n~resistance
遇到~v:obj:n~高兴	meet~~pleasure
遇到~v:obj:n~过程	encounter~v:obj:n~process
遇到~v:obj:n~合理	meet~~sound
遇到~v:obj:n~河马	come~v:obj:n~hippopotamus
遇到~v:obj:n~机会	do~~opportunity
遇到~v:obj:n~困难	encounter difficulty;run up against difficulty;get~v:obj:n~trouble
遇到~v:obj:n~老朋友	meet~~old
遇到~v:obj:n~老人	find~~old
遇到~v:obj:n~老太婆	meet~~old
遇到~v:obj:n~流氓	come~v:obj:n~rascal
遇到~v:obj:n~麻烦	find~v:obj:n~trouble;get~v:obj:n~trouble
遇到~v:obj:n~美男子	meet~~handsome
遇到~v:obj:n~命运	meet~v:obj:n~fortune
遇到~v:obj:n~目光	meet~v:obj:n~eye
遇到~v:obj:n~女子	meet~~woman
遇到~v:obj:n~朋友	meet~v:obj:n~friend
遇到~v:obj:n~乞丐	meet~v:obj:n~beggar
遇到~v:obj:n~情况	encounter~v:obj:n~situation
遇到~v:obj:n~人	meet~ltopic~people;meet~v:obj:n~person
遇到~v:obj:n~人们	meet~v:obj:n~people
遇到~v:obj:n~人物	meet~v:obj:n~figure
遇到~v:obj:n~胜利果实	encounter~~success
遇到~v:obj:n~什么	come~~what
遇到~v:obj:n~天气	meet~v:obj:n~weather
遇到~v:obj:n~退回来	confront~~recoil
遇到~v:obj:n~危险	come~tsub~danger;meet~~peril
遇到~v:obj:n~问题	come across a problem/an issue;meet a problem/an issue;confront~tsub~problem;encounter~v:obj:n~problem;meet~v:obj:n~problem
遇到~v:obj:n~心头	meet~~heart
遇到~v:obj:n~眼睛	meet~v:obj:n~eye
遇到~v:obj:n~应用	encounter~v:obj:n~application
遇见~a:attr:n~女子	meet~~lady
遇见~a:attr:n~人	meet~a:attr:n~everyone;meet~a:attr:n~people
遇见~a:attr:n~傻瓜	see~a:attr:n~fool
遇见~a:attr:n~学生	meet~a:attr:n~student
遇见~v:obj:n~打招呼	meet~~greet
遇见~v:obj:n~高兴	meet~~pleased
遇见~v:obj:n~目前	meet~~present
遇见~v:obj:n~傻瓜	see~v:obj:n~fool
遇见~v:obj:n~说	meet~~speak
遇见~v:obj:n~学生	meet~v:obj:n~student
遇上~v:obj:n~风暴	catch~in~storm
遇上~v:obj:n~激流	many~~rapid
遇上~v:obj:n~倾盆大雨	meet~~rain
愈合~a:attr:n~原因	heal~of~cause
愈来愈~v:mods:d~富含碳质	progressively~v:mods:d~enrich
愈来愈~v:mods:d~困难	increasingly~v:mods:d~difficult
元素~v:mods:d~名称	element~matr~name
元素~v:mods:d~氢	element~v:mods:d~hydrogen
元素~v:mods:d~铜	element~v:mods:d~copper
元素~v:mods:d~之一	element~~one
元音~v:mods:d~练习	vowel~~drill
元音~v:mods:d~系统	vocalic~a:attr:n~system
园~v:mods:d~成本	orchard~for~cost
园~v:mods:d~理论	orchard~v:mods:d~theory
园~v:mods:d~树种	orchard~of~species
园~v:mods:d~作用	orchard~of~function
园艺~v:mods:d~技巧	gardening~~skill
原~a:attr:n~景物	original~a:attr:n~scene
原~a:attr:n~颗粒	primary~a:attr:n~particle
原~a:attr:n~力	original~a:attr:n~force
原~a:attr:n~书	an/the original book;original~a:attr:n~book
原~a:attr:n~问题	original~a:attr:n~problem;the original problem
原~a:attr:n~纤维	collagen~v:mods:d~fiber;raw~~fibre
原~a:attr:n~子集	atom~v:obj:n~group
原~v:mods:d~发病	primary~a:attr:n~disease
原~v:mods:d~设计	formerly design;formerly devise;originally design;originally devise;original~a:attr:n~design
原本~v:mods:d~删节	original~~abridge
原虫性~a:attr:n~疾病	protozoon~v:mods:d~disease
原点~v:mods:d~曲线	origin~~curve
原发性~v:mods:d~疾患	primary~a:attr:n~disease
原来~a:attr:n~标准液	primary~a:attr:n~standard
原来~a:attr:n~估计	original~a:attr:n~estimate
原来~a:attr:n~光束	original~a:attr:n~beam
原来~a:attr:n~机车	original~a:attr:n~locomotive
原来~a:attr:n~计划	original~a:attr:n~plan
原来~a:attr:n~假定	original~a:attr:n~assumption
原来~a:attr:n~角度	original~a:attr:n~angle
原来~a:attr:n~结构	original~a:attr:n~structure
原来~a:attr:n~梦想	original~a:attr:n~dream
原来~a:attr:n~目的	original~a:attr:n~purpose
原来~a:attr:n~派	originally~time~send
原来~a:attr:n~染料	original~a:attr:n~dye
原来~a:attr:n~速度	original~a:attr:n~velocity
原来~a:attr:n~提案	original~a:attr:n~proposition
原来~a:attr:n~问题	original~a:attr:n~problem
原来~a:attr:n~物体	original~a:attr:n~object
原来~a:attr:n~用意	original~a:attr:n~intent
原来~a:attr:n~质子	original~a:attr:n~proton
原来~a:attr:n~种	original~a:attr:n~species
原来~v:mods:d~表明	late~time~show
原来~v:mods:d~输出	original~~output
原来~v:mods:d~希望	down~~hope
原理~v:mods:d~应用	principle~v:obj:n~use
原谅~v:obj:n~触犯	excuse~v:obj:n~offence
原谅~v:obj:n~打搅	forgive~for~interrupt
原谅~v:obj:n~带到	forgive~for~bring
原谅~v:obj:n~过错	pardon~v:obj:n~fault
原谅~v:obj:n~弱点	forgive~v:obj:n~weakness
原谅~v:obj:n~无	forgive~v:obj:n~impertinence
原谅~v:obj:n~写信	excuse~~writing
原料~v:mods:d~商品	primary~a:attr:n~commodity
原棉~v:mods:d~当量	raw~~equivalent
原生动物性~v:mods:d~疾病	protozoan~a:attr:n~disease
原始~a:attr:n~本性	original~a:attr:n~nature
原始~a:attr:n~表格	original~a:attr:n~form
原始~a:attr:n~法律	primal~a:attr:n~law
原始~a:attr:n~分布区	original~a:attr:n~range
原始~a:attr:n~概念	origin~~concept
原始~a:attr:n~共产主义	primitive~a:attr:n~communism
原始~a:attr:n~观念	original~a:attr:n~idea
原始~a:attr:n~距离	original~~distance
原始~a:attr:n~粒子	primary~a:attr:n~particle
原始~a:attr:n~论文	original~a:attr:n~paper
原始~a:attr:n~美	primitive~a:attr:n~beauty
原始~a:attr:n~民族	primitive~a:attr:n~people
原始~a:attr:n~时代	primitive~a:attr:n~period;the primeval times;the primitive times
原始~a:attr:n~数据	raw~a:attr:n~datum;the original data
原始~a:attr:n~数学	primitive~a:attr:n~mathematics
原始~a:attr:n~温度	original~~temperature
原始~a:attr:n~温度场	original~a:attr:n~temperature
原始~a:attr:n~文化	primitive~a:attr:n~culture;the primitive culture
原始~a:attr:n~文明	primitive~a:attr:n~civilization
原始~a:attr:n~文章	original~a:attr:n~paper
原始~a:attr:n~舞会	primeval~a:attr:n~dance
原始~a:attr:n~信号	primary~~signal
原始~a:attr:n~星系	primordial~a:attr:n~galaxy
原始~a:attr:n~性状	primitive~a:attr:n~character
原始~a:attr:n~意识	primitive~a:attr:n~mind
原始~a:attr:n~中心	original~a:attr:n~centre
原始~a:attr:n~状况	commence~~state
原先~v:mods:d~挡住	previously~time~obstruct
原型~v:mods:d~材料	prototype~of~material
原因~v:mods:d~所在	reason~~all
原因~v:mods:d~之一	reason~~one
原有~a:attr:n~论据	original~a:attr:n~datum
原有~a:attr:n~设备	exist~~equipment
原有~v:obj:n~论据	original~~datum
